US,,,,UK,,Differences,
6th,7th,8th,,Document,,The US System does:,The UK system does (Equivalent):
Ratios and Proportional Relationships:,,,,"Page 7.
Ratio, proportion and rates of change",,,
Understand ratio concepts and use ratio reasoning to solve problems:,Analyze proportional relationships and use them to solve real-world and mathematical problems:,,,"Change freely between related standard units [for example time, length, area, volume/capacity, mass]",,US system teaches about concepts before teaching how to use the lessons on math problems,
"6.RP.A.1
Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.","7.RP.A.1
Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.",,,"Use scale factors, scale diagrams and maps",,,"UK system uses more specific units to measure: time, speed, currency"
"6.RP.A.2
Understand the concept of a unit rate a/b associated with a ratio a:b with b is not equal to 0, and use rate language in the context of a ratio relationship.","7.RP.A.2
Recognize and represent proportional relationships between quantities.",,,"Express one quantity as a fraction of another, where the fraction is less than 1 and greater than 1",,,
"6.RP.A.3
Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.","7.RP.A.3
Use proportional relationships to solve multistep ratio and percent problems.",,,"Use ratio notation, including reduction to simplest form",,,
,,,,Divide a given quantity into two parts in a given part:part or part:whole ratio; express the division of a quantity into two parts as a ratio,,,
,,,,Understand that a multiplicative relationship between two quantities can be expressed as a ratio or a fraction,,,
,,,,Relate the language of ratios and the associated calculations to the arithmetic of fractions and to linear functions,,,
,,,,"Solve problems involving percentage change, including: percentage increase, decrease and original value problems and simple interest in financial mathematics",,,
,,,,"Solve problems involving direct and inverse proportion, including graphical and algebraic representations",,,
,,,,"Use compound units such as speed, unit pricing and density to solve problems.",,,
,,,,,,,
The Number System:,,,,Working mathematically:,,The Number System:,Working mathematically:
Apply and extend previous understandings of multiplication and division to divide fractions by fractions:,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers:","Know that there are numbers that are not rational, and approximate them by rational numbers:",,"Page 4.
Develop fluency:",,,"Select appropriate concepts, methods and techniques to apply to unfamiliar and non-routine problems."
