"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Number properties and operations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. Number sense","6.NS.C.6
Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.","Use place value to model and describe integers and decimals	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Model or describe rational number or numerical relationships using number lines and diagrams	","Misunderstanding the connections among proportional relationships part/whole, part/part, whole/part by writing part (shaded)/part (not shaded) relationship instead of part/whole ","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Misunderstanding the connections among proportional relationships part/whole, part/part, whole/part by failing to realize all parts must be of equal size","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Write or rename rational numbers	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Recognize, translate or apply multiple representations of rational numbers (fractions, decimals, and percentages) in meaningful contexts.	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.EE.A.4
Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology.","Express or interpret numbers using scientific notation from real-life contexts.","Fail to generalize patterns in powers.","Slavit, D. (2006) p. 6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Incorrect interpretation of the exponential expression","Pinchback (1991)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.C.7
Understand ordering and absolute value of rational numbers.","Find or model absolute value or apply to problem situations.	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Order or compare rational numbers (fractions, decimals, percents, or integers) using various models and representations (e.g., number line).	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.EE.A.3
Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other.","Order or compare rational numbers including very large and small integers, and decimal and fractions close to zero.	","Ordering decimals incorrectly basing the value of a decimal on incorrect reasoning such as the number of digits","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
