"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Misconception that is not in the master sheet","","Already in the master sheet","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","While a fraction represents a part/whole relationship, a ratio can represent a part/whole, part/part, or even a whole/part relationship. An aspect regarding ratios that middle school students find confusing is the number of different ways a ratio can be written (Kilpatrick, Swafford, & Findell, 2001). For example, the ratio of 12 girls in a class of 20 students could be written as 12/20, 12:20, or 12 to 20 if writing as a part/whole ratio. However, if asked to compare the number of girls to boys in the class, the ratio could be written as 12/8, 12:8 or 12 to 8.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","One way of describing this complexity is to observe that, from the student’s point of view, a rational number is not a single entity but has multiple personalities. The scheme that has guided research on rational number over the past two decades 11 identifies the following interpretations for any rational number, say 3 :4  (a) a part-whole relation (3 out of 4 equal-sized shares); (b) a quotient (3 divided by 4); (c) a measure ( 3 :4 of the way from the beginning of the unit to the end); (d) a ratio (3 red cars for every 4 green cars); and (e) an operation that enlarges or reduces the size of something ( 3 :4 of 12). The task for students is to recognize these distinctions and, at the same time, to construct relations among them that generate a coherent concept of rational number. 12 Clearly, this process is lengthy and multifaceted. (p 255)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Page","Question","Survey","Incorrect Answer","Correct Answer","Misconception Bush et Karp, 2013","","","","","","","","","","","","","","","","","","","","","",""
"","p. 256"," Best estimate of 12/13 + 7/8","NAEP","more than half of U.S. eighth graders chose 19 or 21 as the best estimate of 12/13 + 7/8 . When the correct answer is 187/104 or 1 83/104.","","Holding a rigid understanding of proportionality – absolute vs. relative","","","","","","","","","","","","","","","","","","","","","",""
"","","4 + .3 = ?","",".7, which is given by 68% of sixth graders and 51% of
fifth and seventh graders","","Ordering decimals incorrectly basing the value of a decimal on incorrect reasoning such as the number of digits","","","","","","","","","","","","","","","","","","","","","",""
"","p. 264","comparison of two rates, 8 miles every 10 minutes and 20 miles every 25 minutes","1996 NAEP","only 12% of eighth-grade students could solve it","","Lack of recognition of the different ways a ratio can be written – equivalent ratios and complex ratios","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","p. 3","Silver, E. A. (2000)

Two students are considering the diagrams shown below, in which cir-
 cles are inscribed in a square with a side length of 8 inches. Carlos
 says that the shaded portion in diagram C is larger than the shaded
 portion in diagram B or A. Bill disagrees, asserting instead that the
 shaded portion in diagram A is larger than the shaded portion in dia-
 gram B or C. Alicia disagrees with both boys. She says that all three di-
 agrams have the same portion shaded. Who is correct? Give a mathe-
 matical justification for your answer","SELF","","Students might express their answer in closed form
 (64 - 16ft), or they might approximate the result nu-
 merically using an approximation for n, either a deci-
 mal or a fraction. Thus, they can conclude that the
 area of each shaded region is the same","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","The overarching misconception identified during the in-depth interview was that students rigidly applied the procedure of linear proportionality to solve the problem. Students failed to realize that in an effort to maintain proportionality that they not only needed to multiply the dimension of height of the irregular figure by a factor, but also the width. De Bock, Van Dooren, Verschaffel, and Janssens (2002)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Page","Question","Survey","Incorrect Answer","Correct Answer","Misconception Bush et Karp, 2013","","","","","","","","","","","","","","","","","","","","","",""
"","(p. 9, 11-13)"," Bart is publicity painter. In the last few days, he had to paint Christmas decorations on several store windows. Yesterday, he made a drawing of a 56 cm high Father Christmas on the door of a bakery. He needed 6 ml paint. Now he is asked to make an enlarged version of the same drawing on a supermarket window. This copy should be 168 cm high. How much paint will Bart approximately need to do this?","Self","Answers given: 18 ml - 43% of the pupils 54 ml - 43% of the pupils. Other answers - 14%","Two 15-16-year olds who gave the correct non-linear answer in this phase, all students calculated the amount of paint needed in a pro- portional way. Only one of these 38 students expressed some doubts about this linear approach (""You need more data, for instance the width"" [10- 19]), but this did not affect his solution. Strategies for finding the linear solution were, in order of importance, the internal ratio strategy (i.e. using the ratio between the heights of the Fathers Christmas: 168 ml/56 ml = 3, thus 3 x 6 ml = 18 ml), the 'rule of three' (i.e. via the amount of paint needed to paint 1 cm of the Father Christmas: 6 ml of paint for 56 cm, thus 0.107 ml for 1 cm, thus 0.107 x 168 ml = 18 ml for 168 cm) and the external ratio strategy (i.e. using the ratio between the amount of paint and the height in one Father Christmas: 6 ml/56 cm = 0.107 ml/cm, thus 0.107 ml/cm x 168 cm = 18 ml). ","Inability to recognize that ratios are a relationship between two quantities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","The results of Singh’s study suggest that teaching students to rigidly use the unit rate method to solve proportions as a singular approach may result in students’ acquiring an instrumental understanding and may be counterproductive in students’ development of a relational understanding of proportional reasoning. Singh (2000)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Page","Question","Survey","Incorrect Answer","Correct Answer","Misconception Bush et Karp, 2013","","","","","","","","","","","","","","","","","","","","","",""
