,,,,,,,,,,,,,
,Topic,Common Core,,,NAEP 8th 2022,,,Misconceptions,,,,Gap,
,,,,,,,,,,,,,
,Number      properties      and      operations,,,,,,,,,,,,
,1. Number sense,,,,Use place value to model and describe integers and decimals,,,,,,,,
,,,,,,,,,,,,,
,,"6.NS.C.6
Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.",,,Model or describe rational number or numerical relationships using number lines and diagrams,,,"1M. Misunderstanding the connections among proportional relationships part/whole, part/part, whole/part by writing part (shaded)/part (not shaded) relationship instead of part/whole ",,"2M. Misunderstanding the connections among proportional relationships part/whole, part/part, whole/part by failing to realize all parts must be of equal size",,number lines,
,,,,,Sample Question 2022,Answer,,,Question/ Answer,,,,
,,,,,,,,,,,,,
,,,,,,,,Ashlock (2006),,,,,
,,,,,Write or rename rational numbers,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Recognize, translate or apply multiple representations of rational numbers (fractions, decimals, and percentages) in meaningful contexts.",,,,,,,,
,,,,,Sample Question 2017,Answer,,,,,,,
,,,,,,"""The correct answer is:

C. 1/4 off the regular price""",,,,,,,
,,,,,,,,,,,,,
,,"8.EE.A.4
Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology.",,,Express or interpret numbers using scientific notation from real-life contexts.,,,4E. Fail to generalize patterns in powers.,,3E. Incorrect interpretation of the exponential expression,,,
,,,,,,,,"Slavit, D. (2006) p. 6

""What digit is in the one's place of the answer to: 2^9 . 3^4. 5^6",Question,"Pinchback (1991)

(z -4)^2",,,
,,,,,,,,The results indicated that students tended to use a computational approach to solve this problem instead of looking for a generalizable pattern in each power,Answer,Instead interpreted it as (z -  4) (z +4) or they tried to do other incorrect procedures such as attempting to factor (z -4)2 to (z + 2) (z -2),,,
,,,,,,,,,,,,,
,,"6.NS.C.7
Understand ordering and absolute value of rational numbers.",,,Find or model absolute value or apply to problem situations.,,,,,,,,
,,,,,Sample Question 2022,Answer ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Order or compare rational numbers (fractions, decimals, percents, or integers) using various models and representations (e.g., number line).",,,,,,,,
,,,,,Sample Question 2022,Answer ,,,,,,,
,,,,,,,,,,,,,
,,,,,Sample Question 2017,Answer ,,,,,,,
,,,,,,"Sample Correct Response:

(a) Answer: 4/5 or 0.8 (or equivalent)
(b) Answer: 1 2/5 or 1.4 (or equivalent)
(c) Answer: 1 1/10 or 1.1 (or equivalent)",,,,,,,
,,,,,,,,,,,,,
,,"8.EE.A.3
Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other.",,,"Order or compare rational numbers including very large and small integers, and decimal and fractions close to zero.",,,5M. Ordering decimals incorrectly basing the value of a decimal on incorrect reasoning such as the number of digits,,,,,
,,,,,,,,"A. 0.3 < 0.4      B. 0.2 < 0.02
C. 0.03 > 0.3    D. 0.1 = 0.1
E. 0.2 < 0.03    F. 0.001 > 0.02",Question,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2. Estimation,"8.NS.A.1
Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.","8.NS.A.2
Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., pi²).",,"Establish or apply benchmarks for rational numbers and common irrational numbers (e.g., Pi) in contexts.",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Make estimates appropriate to a given situation by: ,Identify when estimation is appropriate,,,,,,,
,,,,,,Determining the level of accuracy needed,,,,,,,
,,,,,,Selecting the appropriate method of estimation,,,,,,,
,,,,,,Analyzing the effect of an estimation method on the accuracy of results,,,,,,,
,,,,,,,,,,,,,
,,,,,"Verify solutions or determine the reasonableness of results in a variety of situations, including calculator and computer results.",,,,,,,,
,,,,,,,,,,,,,
,,,,,Estimate square or cube roots of numbers less than 1000 between two whole numbers.,,,,,,,,
,,,,,,,,,,,,,
,3. Number Operations,"7.NS.A.1
Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.",,,Perform computations with rational numbers,,,2E. Simplified the numerator but not the denominator,,1E. Attempted to write a fraction in lower terms by estimating when you cannot divide evenly (e.g. 3/8 to 1/4),,,
,,,,,,,,"Ashlock (2006)

A. 4/8 = 2/8
B. 6/8 = 1/8
C. 2/4 = 2/4
D. 7/7 = 1/7
E. 4/6 = 1/6
F. 9/3 = 3/9",Question/ Answer,"Ashlock (2006)

A. 4/9 = 2/3
B. 3/ 9 = 1/3
C. 3/8 = 1/4
D. 4/8 = 2/4",,,
,,,,,Sample Question 2017,Answer ,,3E. Added/subtracted the numerators and added/subtracted the denominators (overgeneralized whole number operations),,4E. Identified a common denominator but failed to change the fractions into equivalent form,,,
