,,,,,,,,,
,,Misconception that is not in the master sheet,,Already in the master sheet,,,,,
,,,,,,,,,
,"The research suggested that students struggle with the following: checking their solution (Perrenet & Wolters, 1994); symbolic notation (Nathan & Koedinger, 2000; Swafford & Langrall, 2000); reversal order error (Abouchedid & Nasser, 2000; Clement, 1982; Clement et al., 1981a; Fisher, 1988; Philipp, 1992b; Rosnick & Clement, 1980; Swan, 2000); combining (or not combining) like terms (Ashlock, 2006); inverse operations (Ashlock, 2006); and distributive property (Ashlock, 2006).",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,"p. 2, 3",7 - 1/2 n = 18,"In 1989 the results on some linear equation-solving tasks were collected and
analyzed for 14-year-old students (Perrenet, Mertens, Herfs, & Terwel, 1989).
The students were asked to write down the solving procedure and the checking
procedure. When analyzing the work of these students we were confronted with
examples of incorrect peculiar checking behavior.

This article reports the results of a study in which a group of eighth-grade students was presented with a set of linear equation-solving and checking tasks. A few weeks later some selected students were interviewed in detail on the checking behavior manifested in their notes on the previously presented paper-and-pencil task. In the same interview session a metacognition task was presented.","Student 1:

Solving:

7 - 1/2 = 18

- 1/2 = 11

n = 22


Checking:

7 - 1/2 · 22 = 18

7 + 11 = 18

18 = 18


Student 2:

Solving:

7 - 1/2 n = 18

7 - 1/2 n + 7 = 18 + 7

- 1/2 n = 25

1 n = 50


Checking:

7 - 25 = 18

OK","correct:

Solving:

-n = 22

n = -22 


Checking:

7 - 1/2 · -22 = 18

7 - 1 · -11 = 18

18 = 18

OK","The student manipulates the checking procedure to get the “right” answer. 

The student substitutes the value for the unknown into an already incorrectly transposed equation",,,x
,"p 3, 9","Set A
consists of four problems of the usual kind. The students have to solve equations
and check their answers by substitution. 



2) Solve the following equation.
Check your solution by substitution.
m-3=4m



","The equation-solving and checking task is presented in the form of a mathematics
paper-and-pencil task to 83 students in the eighth grade of two high schools. (M age = 14).","The Checking-with-Help Score is a score from 0 to 2. Score 0 is given wher
the student does not detect that the given answer is incorrect, score 1 is given il
the student detects the incorrect answer but is not able to correct the answer, ant
score 2 is given if the correct answer is found.

- Problem A2: m - 3 = 4m
Sandra writes:

solving:

m = 3m 
m = 3

Checking: [nothing]

Sandra: 4 times 3 makes 12; it still does not fit. 1’11 try to divide. No, that does not
work either. ",,"Protocol Sandra. The protocol gives an example of a logical error: substitution of different values
for the same variable. Sandra has substituted m = 3 on the right-hand side of the
equation m - 3 = 4m and m = 15 on the left-hand side. In this way both sides
become the same, that is equal to 12. 

","Of the total 83 students, 29 students show no checking behavior at all and 10 students
show the correct checking behavior on the paper-and-pencil task. Thirty-four
students commit the commonly observed errors noted previously. The students
we selected for the interview session are the 14 students who show the checking
errors in more than one problem. 

The Checking Score is a quartile score that varies from 0 to 3. Per student the
calculation of the score is based upon those problems where a solution (correct or
incorrect) was found or given. The reason is, that for checking, a possible
solution is required first. The percentage of correct checking procedures out of
possible checking procedures is then computed. For 0% to 25% the score 0 was
given, for 25% to 50% the score 1 was given, for 50% to 75% the score 2 was
given, and for 75% to 100% the score 3 was given. ",,
,"p. 10, 11","Set A:
1) Solve the following equation.
Check your solution by substitution.
4p+40=60",,"- Problem Al: 4p + 40 = 60
Lester writes:

solving:

4p = 20
p = 5

Checking:

5 + 5 + 5 + 5 = 20 
60 - 40 = 20",,"Protocol Lester. The next protocol gives an example of a logical error.
This error is an example of a logical error: checking a transposed equation.
Lester does not check the given equation 4p + 40 = 60, but the transposed
equation 4p = 60 - 40. In this case the error looks quite harmless: No damage is
done because both equations are equivalent. However, checking an incorrectly
transposed equation might lead to the false conclusion that the found value is
correct. ",,,
,p. 11,"Set A:
3) Solve the following equation.
Check your solution by substitution.
2x-1=-2+5x",,"- Problem A3: 2x - 1 =  -2 + 5x
Toby writes

solving:

2x - 1 = -2 + 5x
+2 +2
4x = 5x
x = 5

Checking:

4.5 = 5.4 = 20
OK",,"Protocol Toby: These notes show a combination of two logical errors: checking a transposed
equation and substitution of different values. Instead of checking the equation 2~
- 1 = -2 + 5x, Toby checks the incorrectly transposed equation 4x = 5x. He
uses two values (x = 4 and x = 5) to make it fit. But even if he had solved the
equation 4x = 5x in the correct way and had concluded that x = 0, checking the
transposed equation would have lead to the incorrect conclusion that x = 0 would
be the correct solution of the original equation, 2x - 1 = 2 + 5x. 

The student confuses the value of x",,,
,p. 11 - 13,"Set A:
4) Solve the following equation.
Check your solution by substitution.
7-%x=18 ",,"Problem A4: 7 - 1/2 n = 18
Toby writes:

Solving:

- 1/2 n = 11
n = 22

Checking:

7 - 11 = -4
-11 = -11
11 = 11
22 = 22",,"These notes show a combination of two logical errors: checking a transposed
equation and substitution of different values. Instead of checking the equation 2~
- 1 = -2 + 5x, Toby checks the incorrectly transposed equation 4x = 5x. He
uses two values (x = 4 and x = 5) to make it fit. But even if he had solved the
equation 4x = 5x in the correct way and had concluded that x = 0, checking the
transposed equation would have lead to the incorrect conclusion that x = 0 would
be the correct solution of the original equation, 2x - 1 = 2 + 5x. 

The protocol gives an example of a logical error: checking a “halved” equation.
Only one side of the equation is used. Somehow the left-hand side of the equation is proved to be equal to itself and the solution is used as part of the proof",,,
,"p. 3,  12","Set B consists of two problems, and is
presented after the students have finished set A. In Set B an equation-solving
chain and solution are given. In Bl the student is asked to check the answer by
substitution and in B2 the student is asked to check the written substitution
process which is given. 

Set B:
1) John has to solve an equation and check his solution substitution. Below you see what he has done already. Complete his work. 

7 - 1/2 n = 18

7 - 1/2 n

1/2 n = 50

n = 50

Check: substitute 50
",,"Problem B1: 7 - 1/2 n = 18

John’s solving process:

7 - 1/2 n = 18
1/2 n = 25
n = 50

Lester’s checking:

7 - 1/2 n = 18
7 - 25 = 18
25 - 7 = 18",,"This error is an example of an operational error: treatment of subtraction as if it
were a commutative operation. In this protocol the error is explicit: Lester replaces 7 - 25 by 25 - 7. In other protocols sometimes the error is implicit, for
example, 7 - 25 is replaced by 18.
The last piece of protocol of the structural error group (protocol Toby) again
demonstrates a logical error.


The student did the subtraction without taking into account the order of the values",,,
,,"2) Here you see, how Dorris did a problem.

t-24 = 23t

-24 = 24t 

-1 = t

t = -1

Check: substitute -1

-l -24 = 23. -1

-23 = 23. -1

OK

Did she do all right, yes or no ? Give an explanation starting
Yes or No.
""Yes, she did all riaht, because....""
""No, she did it wrong. What did she do wrong? ...""",,,,,,,
,,,,,,,,,
,"Simbolic notation Swafford & Langrall, 2000",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
