,,,,,,,,,,
,Ratios and Proportional Relationships,"Postetal.(1988) defined proportional reasoning as involving“...a sense of co variation, multiple comparisons, and the ability to mentally store and process several pieces of information” (p.79).","While a fraction represents a part/whole relationship, a ratio can represent a part/whole, part/part, or even a whole/part relationship. An aspect regarding ratios that middle school students find confusing is the number of different ways a ratio can be written (Kilpatrick, Swafford, & Findell, 2001). For example, the ratio of 12 girls in a class of 20 students could be written as 12/20, 12:20, or 12 to 20 if writing as a part/whole ratio. However, if asked to compare the number of girls to boys in the class, the ratio could be written as 12/8, 12:8 or 12 to 8.","Additionally, ratios can be written as a single number (e.g. 55 mpg, pi) and students may be asked to simplify ratios (e.g. 6:14 to 3:7) (Hoffer, 1988). Lamon (2012) also recognized students’ confusion associated with ratios written as fractions. She stated that students are often mistakenly taught to think of ratios only as a fractions (e.g. 3/4) representing a part-whole relationship. This oversimplified understanding causes students to be inflexible in moving back and forth between different meanings of ratios where 3/4 can mean a part/whole, part/part, or a whole/part relationship.","Another critical difference between fractions and ratios middle school students find challenging involves the correct approaches for combining two ratios (or fractions). Hoffer (1988) provided the following example of ratios: “2 hits out of 5 at-bats followed by 3 hits out of 7 at-bats yields 5 hits out of 12 at-bats” (p. 289). Here it is logical and correct to add the numerators and add the denominators. However, if this were an addition of fractions problem (2/5 + 3/7), adding the numerators and denominators would not be correct.","The overarching misconception identified during the in-depth interview was that students rigidly applied the procedure of linear proportionality to solve the problem. Students failed to realize that in an effort to maintain proportionality that they not only needed to multiply the dimension of height of the irregular figure by a factor, but also the width. De Bock, Van Dooren, Verschaffel, and Janssens (2002)",,,,
,,"proportional reasoning is not only mathematical, as described by y=mx+b, but also psychological. In order to reason proportionally, students must be able to reason multiplicatively. That is, they must have a solid understanding of rational numbers, equivalence, understand the parts of a ratio, analyze functional relationships, and in general decide whether an answer related to a proportional situation is reasonable","the numerous ways students might be asked to write, represent, or think about situations using ratios and proportions can be a perplexing.",,,The results of Singh’s study suggest that teaching students to rigidly use the unit rate method to solve proportions as a singular approach may result in students’ acquiring an instrumental understanding and may be counterproductive in students’ development of a relational understanding of proportional reasoning. Singh (2000),,,,
,,"CCSSO,2010a",,,,,,,,
,,,,,,,,,,
,The Number System,Fractions,,,Decimal and Percentages,,,Integers,,
,,Wrinting a fraction to represent the shaded part of a figure,1. Wrote part (shaded)/part (not shaded) relationship instead of part/whole ,"Brown and Quinn found that students had a fragmented understanding of fraction concepts and fraction operations and they harbored several common misconceptions. Students tended to select a fraction algorithm, sometimes correctly and sometimes not, and use it – they rarely drew supporting pictures or diagrams to guide their decision on selecting an operation. Other errors included students misusing the algorithm by cross-multiplying instead of multiplying fractions straight across, failing to use inverse operations to solve the equations from basic algebraic concepts, and on the most difficult problems – namely in the computational fluency category – failing to even attempt the problems",Comparing decimals,1. Determined which decimal was greater simply by the number of digits,"common mistakes made by students in relation to decimal fractions: the belief that the longer the decimal fraction the larger the value (more digits, e.g. belief that 0.456 is larger than 0.47); the belief that the shorter the decimal fraction the larger the value (does not extend to as small of a place value (e.g. belief that 0.3 is larger than 0.432); confusion surrounding zeros which are to the right of the decimal point (not just a place holder, e.g. confused by 0.04); the belief that when comparing a decimal fraction such as 0.47 to 0 that zero is larger because the other digits are to the right of the decimal place; reciprical thinking that the smaller the digit the larger the value (confused with fractions); and difficulty with equaivalent representations – for example not understanding that 0.4 is the same as 0.40 or 0.400. Elementary and Middle School Mathematics: Teaching Developmentally ","Overall, Vlassis found that students had great difficulty in problems involving a subtraction sign followed directly by a negative sign (e.g. such as 5 − (−7)) when checking their answer by substituting the solution back into the equation. For example, students had trouble with the equation 4 − x = 5 because when checking their solution of x = −1 by substituting −1 back into the equation they were perturbed by 4 − (−1)","misconceptions involving integers: knowing to subtract when finding the sum of a positive and negative integer but not knowing what sign to label the sum; thinking that the sum of two negatives results in a positive (possibly confused with multiplication); and other incorrect uses of signs. Ashlock suggested that to support students in correcting these misconceptions and errors, number lines and set models should be used to teach for conceptual understanding. His suggestion aligns well with mathematical practices four and five: Model with mathematics and using tools strategically. Ashlock(2006)",
,,,2. Failed to realize all parts must be of equal size,,Adding and subtracting decimals,1. Ignored place value concepts to put the decimal in the answer,,"Vlassis found that students omitted negative signs when attempting to find an equivalent equation. For example, he noticed some students changed 12 − x = 7 to x = 7 − 12, failing to carry through the negative coefficient on the variable and thereby reaching an incorrect answer.",,
,,Simplifying fractions to lowest terms,1. Attempted to write a fraction in lower terms by estimating when you cannot divide evenly (e.g. 3/8 to 1/4),,,2. Avoided regrouping when subtracting by instead subtracting the smaller number from the larger,,Order of Operations,,
,,,2. Simplified the numerator but not the denominator,,Multiplying and dividing decimals,1. Placed the decimal point in the incorrect place when multiplying or dividing,,Linchevski and Livneh (1999) included interviews with 53 twelve year old students in four classes from two countries. Linchevski and Livneh asked students to solve the following five problems:,1. 5+6×10= 2. 17−3×5= 3. 8×(5+7)= 4. 27−5+3= 5. 24÷3×2=,"They found that, on questions 1 and 2, the majority of students performed addition first instead of multiplication. All students answered question 3 correctly, suggesting they knew to simplify the parentheses first. On questions 4 and 5, although the majority of students correctly solved from left to right, some students believed they should add before subtract or multiply before divide (instead of in order from left to right). Overall, only 26% of students answered all five questions correctly (Linchevski & Livneh, 1999)."
,,Addition and subtraction of fractions,1. Added/subtracted the numerators and added/subtracted the denominators (overgeneralized whole number operations),,Comparing and Ordening,,,"Booth (1988), found that students often do not use parentheses first because they believe that a written sequence of operations is performed in order from left to right. While this misconception hinders students in algebra, it is really arithmetical in nature. Furthermore, in a report from Booth’s two-year project which analyzed students’ mathematical errors, he concluded that:",• the context of the problem determines the order of operations;,"Middle grades students ignore the use of grouping symbols, mainly because they consider them unnecessary. This belief is largely founded upon the view that:"
