,,,,,,
,Algebra,,,,,
,,,,,,
,,,,,,
,Exhibit 7. Algebra,,,,,
,"1) Patterns, relations, and functions",,,,,
,"a) Recognize, describe, or extend numerical and geometric patterns using tables, graphs, words, or symbols.",,,,,
,"b) Generalize a pattern appearing in a numerical sequence, table, or graph using words or symbols.",,,,,
,"c) Analyze or create patterns, sequences, or linear functions given a rule.",,,,,
,"e) Identify functions as linear or nonlinear or contrast distinguishing properties of functions from tables, graphs, or equations.","8.F.A.3
Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.","8.F.A.2
Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,,
,f ) Interpret the meaning of slope or intercepts in linear functions.,,,,,
,,,,,,
,2) Algebraic representations,,,,,
,"a) Translate between different representations of linear expressions using symbols, graphs, tables, diagrams, or written descriptions.","8.F.A.1
Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.",,,,
,"b) Analyze or interpret linear relationships expressed in symbols, graphs, tables, diagrams, or written descriptions.","6.EE.C.9
Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",,,,
,c) Graph or interpret points represented by ordered pairs of numbers on a rectangular coordinate system.,"6.NS.C.8
Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.",,,,
,d) Solve problems involving coordinate pairs on the rectangular coordinate system.,,,,,
,"f ) Identify or represent functional relationships in meaningful contexts including proportional, linear, and common nonlinear (e.g., compound interest, bacterial growth) in tables, graphs, words, or symbols.","8.F.B.5
Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally.",,,,
,,,,,,
,"3) Variables, expressions, and operations",,,,,
,"b) Write algebraic expressions, equations, or inequalities to represent a situation.","6.EE.A.2
Write, read, and evaluate expressions in which letters stand for numbers.","6.EE.B.6
Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",,,
,"c) Perform basic operations, using appropriate tools, on linear algebraic expressions (including grouping and order of multiple operations involving basic operations, exponents, roots, simplifying, and expanding).","6.EE.A.1
Write and evaluate numerical expressions involving whole-number exponents.","7.EE.A.1
Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.","6.EE.A.3
Apply the properties of operations to generate equivalent expressions.","8.EE.A.1
Know and apply the properties of integer exponents to generate equivalent numerical expressions.","8.EE.A.2
Use square root and cube root symbols to represent solutions to equations of the form x² = p and x³ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that the square root of 2 is irrational."
,,,,,,
,4) Equations and inequalities,,,,,
,"a) Solve linear equations or inequalities (e.g., ax + b = c or ax + b = cx + d or ax + b > c).","7.EE.A.2
Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.","8.EE.C.7
Solve linear equations in one variable.","8.EE.C.8
Analyze and solve pairs of simultaneous linear equations.","7.EE.B.3
Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies.",
,b) Interpret “=” as an equivalence between two expressions and use this interpretation to solve problems.,"6.EE.A.4
        Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).","6.EE.B.5
Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",,,
,"c) Analyze situations or solve problems using linear equations and inequalities with rational coefficients symbolically or graphically (e.g., ax + b = c or ax + b = cx + d).","7.EE.B.4
Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.","6.EE.B.7
Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.","6.EE.B.8
Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.",,
,"d) Interpret relationships between symbolic linear expressions and graphs of lines by identifying and computing slope and intercepts (e.g., know in y = ax + b, that a is the rate of change and b is the vertical intercept of the graph).","8.EE.B.5
Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways.","8.F.B.4
Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",,,
,"e) Use and evaluate common formulas (e.g., relationship between a circle’s circumference and diameter [C = pi d], distance and time under constant speed).",,,,,
,,,,,,
,5) Mathematical reasoning in algebra,,,,,
,"a) Make, validate, and justify conclusions and generalizations about linear relationships.",,,,,
